id,label
prom_fever,Have you had a fever?
confirm_fever,You have selected 'Fever' as one of your symptoms. We would like to ask a few questions about this. Tap 'Remove' if this is not correct.
fever_01,When did your fever start?
fever_02,How many days have you had the fever?
fever_03,Are you still feeling feverish today?
fever_04,Have you measured your temperature at home?
fever_041,What was the highest reading?
fever_05,Have you been admitted to hospital within the last 1 month?
fever_06,Have you been in contact with anyone who is unwell within last 2 weeks?
fever_07,Have you travelled overseas in the last 1 month?
fever_08,"Have you recently been hiking, jungle trekking, or had contact with rivers, floodwater, or muddy water? (within the last 1 month)"
prom_sob,Do you have shortness of breath?
confirm_sob,You have selected 'Shortness of breath' as one of your symptoms. We would like to ask a few questions about this. Tap 'Remove' if this is not correct.
resp_sob01,Did the shortness of breath start suddenly or gradually?
resp_sob02,How many days have you been having shortness of breath?
resp_sob03,Do you feel short of breath at rest or when you are active?
resp_sob04,Has it limited your ability to walk or do usual activities?
resp_sob05,Do you feel breathless when lying flat?
resp_sob06,Have you been waking up suddenly at night because of shortness of breath and needing to sit up?
resp_sob07,"Is the shortness of breath triggered by dust, smoke, or cold air?"
resp_sob08,Does the pain get worse when you take a deep breath or cough?
resp_sob09,Do you hear a wheezing sound when breathing?
prom_cough,Do you have a cough?
confirm_cough,You have selected 'Cough' as one of your symptoms. We would like to ask a few questions about this. Tap 'Remove' if this is not correct.
resp_cou01,How many days have you been coughing?
resp_cou02,Are you coughing up phlegm?
resp_cou021,What colour is the phlegm?
resp_cou022,"If you usually have phlegm, is the amount more than usual?"
resp_cou023,"If you usually have phlegm, has it changed in colour?"
resp_cou03,Have you coughed up blood?
resp_cou04,Do you have runny nose?
resp_cou05,Do you have sore throat?
prom_vomiting,Have you been vomiting?
git_vom01,Have you been feeling nauseated (like you want to vomit)?
confirm_vomiting,You have selected 'Vomiting' as one of your symptoms. We would like to ask a few questions about this. Tap 'Remove' if this is not correct.
git_vom02,What does the vomit look like?
git_vom03,How many times have you vomited?
git_vom04,How many days have you been vomiting?
git_vom05,Are you able to keep down fluids or water?
prom_diarrhoea,Have you been having loose or watery stools (diarrhoea)?
confirm_diarrhoea,You have selected 'Loose or watery stools (diarrhoea)' as one of your symptoms. We would like to ask a few questions about this. Tap 'Remove' if this is not correct.
git_dia01,How many times have you passed loose or watery stools?
git_dia02,How many days have you been having loose or watery stools (diarrhoea)?
git_dia03,Did the diarrhoea start after eating outside or suspicious food?
git_dia021,Did anyone else who ate the same food have similar symptoms?
prom_abdopain,Do you have stomach or abdominal pain?
confirm_abdopain,You have selected 'Stomach or abdominal pain' as one of your symptoms. We would like to ask a few questions about this. Tap 'Remove' if this is not correct.
git_pain01,Does the pain go through to your back?
git_pain02,Do you feel the pain going up to your chest?
git_pain03,Do you feel acid or food coming up into your throat?
git_pain04,Do you feel the pain going to your right shoulder or upper back?
git_pain05,Does eating make the pain worse?
git_pain06,Does the pain come after eating oily or fatty food?
git_pain07,Did the pain start around your belly button and then move to the lower right side of your abdomen?
git_pain08,Does coughing or moving make the pain worse?
git_01,Have you been constipated or have difficulty passing stools?
git_02,When did you last open your bowels?
git_03,What colour are your stools?
git_04,Have you noticed blood in your stools?
git_05,Are you able to pass gas (wind)?
git_06,Does your abdomen feel bloated or distended?
git_07,Have your eyes or skin turned yellow?
git_08,Do you have difficulty swallowing?
git_09,Do you have pain when swallowing?
git_10,Do you have difficulty controlling your bowels (accidental leakage)?
prom_gu,Do you have problems with passing urine?
confirm_gu,You have selected 'Problems with passing urine' as one of your symptoms. We would like to ask a few questions about this. Tap 'Remove' if this is not correct.
gu_01,Are you able to pass urine?
gu_02,Do you feel pain or burning when passing urine?
gu_021,How many days have you had this problem?
gu_03,"Compared to your usual, are you passing urine more often, or less amount, or about the same?"
gu_031,How many days have you experienced this?
gu_04,Is your urine darker than usual?
gu_041,How many days have you experienced this?
gu_05,Do you feel the urge to pass urine but cannot get it out?
gu_051,How many days have you had this problem?
gu_06,"Have you noticed blood in your urine or blood coming out of your urine passage? (blot clots, or red/pink coloured urine, or fresh blood)"
gu_061,How many days have you had this problem?
gu_07,Do you have pain at your side (flank) or lower back? (like as shown in the picture)
gu_071,Is the pain constant or does it come in waves?
gu_072,Does the pain move from your side to your groin?
gu_08,Have you ever had kidney stones before?
gu_09,Do you currently have a stent (tube) placed in your kidney or ureter?
gu_091,When was the stent inserted? (days/weeks/months ago)
gu_10,"Have you had any recent procedures involving your urine passage (such as a catheter, scope, or surgery) within the past 2 weeks?"
gu_11,Do you have difficulty controlling your bladder (accidental leakage)?
gu_cbd01,Does the urine in the bag look cloudy?
gu_cbd011,How many days have you had this problem?
gu_cbd02,"Compared to usual, has the amount of urine in your urine bag been more, less, or about the same?"
